"function_name"	"object_type"	"category"	"help_topic"	"title"	"usage"	"description"	"standard_call"
"diag_ischemic.stroke_hadm"	"function"	"diagnosis"	"diag_ischemic.stroke_hadm"	"diag_stroke_hadm"	"diag_ischemic.stroke_hadm( all = FALSE, hadm_id = T, code_yn = \"ischemic.stroke\", code_10 = F, view = F )"	"ICD9: 43301,43311,43321,43331,43381,43391,43401,43411 ICD10: I63"	"diag_ischemic.stroke_hadm(all = FALSE, hadm_id = T, code_yn = \"ischemic.stroke\", code_10 = F, view = F)"
"diag_malignancy_hadm"	"function"	"diagnosis"	"diag_malignancy_hadm"	"malignancy"	"diag_malignancy_hadm( all = FALSE, hadm_id = T, long_title, code_yn = \"Malignant_cancer\", code_10, view = T )"	"Any malignancy, including lymphoma , leukemia, except malignant neoplasm of skin. ICD9: start with 2386 ICD9: start with bwtween 140 and 172 ICD9: start with bwtween 1740 and 1958 ICD9: start with bwtween 200 and 208 ICD10: start with C43, C88 ICD10: start with bwtween C00 and C26 ICD10: start with bwtween C30 and C34 ICD10: start with bwtween C37 and C41 ICD10: start with bwtween C45 and C58 ICD10: start with bwtween C60 and C76 ICD10: start with bwtween C81 and C85 ICD10: start with bwtween C90 and C97"	"diag_malignancy_hadm(all = FALSE, hadm_id = T, long_title = FALSE, code_yn = \"Malignant_cancer\", code_10 = FALSE, view = T)"
"diag_Metastatic.solid.tumor_hadm"	"function"	"diagnosis"	"diag_Metastatic.solid.tumor_hadm"	"Metastatic.solid.tumor"	"diag_Metastatic.solid.tumor_hadm( all = FALSE, hadm_id = T, long_title, code_yn = \"Metastatic.solid.tumor\", code_10, view = T )"	"ICD9: start with 196, 197, 198, 199 ICD10: start with C77, C78, C79, C80"	"diag_Metastatic.solid.tumor_hadm(all = FALSE, hadm_id = T, long_title = FALSE, code_yn = \"Metastatic.solid.tumor\", code_10 = FALSE, view = T)"
"diag_Mild.liver.disease_hadm"	"function"	"diagnosis"	"diag_Mild.liver.disease_hadm"	"Mild.liver.disease"	"diag_Mild.liver.disease_hadm( all = FALSE, hadm_id = T, long_title, code_yn = \"Mild.liver.disease\", code_10, view = T )"	"ICD9: start with 570, 571,0706, 0709, 5733, 5734, 5738, 5739, V427,07022, 07023, 07032, 07033, 07044, 07054 ICD10: start with B18, K73, K74,K700, K701, K702, K703, K709, K713, K714, K715, K717, K760, K762, K763, K764, K768, K769, Z944"	"diag_Mild.liver.disease_hadm(all = FALSE, hadm_id = T, long_title = FALSE, code_yn = \"Mild.liver.disease\", code_10 = FALSE, view = T)"
"diag_Moderate.severe.liver.disease_hadm"	"function"	"diagnosis"	"diag_Moderate.severe.liver.disease_hadm"	"Moderate.severe.liver.disease"	"diag_Moderate.severe.liver.disease_hadm( all = FALSE, hadm_id = T, long_title, code_yn = \"Moderate.severe.liver.disease\", code_10, view = T )"	"ICD9: start with 4560, 4561, 4562 ICD9: bwtween 5722 and 5728 ICD10: start with I850, I859, I864, I982, K704, K711, K721, K729, K765, K766, K767"	"diag_Moderate.severe.liver.disease_hadm(all = FALSE, hadm_id = T, long_title = FALSE, code_yn = \"Moderate.severe.liver.disease\", code_10 = FALSE, view = T)"
"diag_Myocardial.infarction_hadm"	"function"	"diagnosis"	"diag_Myocardial.infarction_hadm"	"Myocardial infarction"	"diag_Myocardial.infarction_hadm( all = FALSE, hadm_id = T, long_title, code_yn = \"Myocardial_infarction\", code_10, view = T )"	"ICD9以410,412开头，ICD10以I21,I22,I252开头"	"diag_Myocardial.infarction_hadm(all = FALSE, hadm_id = T, long_title = FALSE, code_yn = \"Myocardial_infarction\", code_10 = FALSE, view = T)"
"diag_Peptic.ulcer.disease_hadm"	"function"	"diagnosis"	"diag_Peptic.ulcer.disease_hadm"	"Peptic.ulcer.disease"	"diag_Peptic.ulcer.disease_hadm( all = FALSE, hadm_id = T, long_title, code_yn = \"Peptic.ulcer.disease\", code_10, view = T )"	"ICD9: start with 531, 532, 533, 534 ICD10: start with K25, K26, K27, K28"	"diag_Peptic.ulcer.disease_hadm(all = FALSE, hadm_id = T, long_title = FALSE, code_yn = \"Peptic.ulcer.disease\", code_10 = FALSE, view = T)"
"diag_Peripheral.vascular.disease_hadm"	"function"	"diagnosis"	"diag_Peripheral.vascular.disease_hadm"	"Peripheral.vascular.disease"	"diag_Peripheral.vascular.disease_hadm( all = FALSE, hadm_id = T, long_title, code_yn = \"Peripheral.vascular.disease\", code_10, view = T )"	"ICD9: start with 440, 441,0930, 4373, 4471, 5571, 5579, V434 ICD9: bwtween 4431 and 4439 ICD10: start with I70, I71,I731, I738, I739, I771, I790, I792, K551, K558, K559, Z958, Z959"	"diag_Peripheral.vascular.disease_hadm(all = FALSE, hadm_id = T, long_title = FALSE, code_yn = \"Peripheral.vascular.disease\", code_10 = FALSE, view = T)"
"diag_Renal.disease_hadm"	"function"	"diagnosis"	"diag_Renal.disease_hadm"	"Renal.disease"	"diag_Renal.disease_hadm( all = FALSE, hadm_id = T, long_title, code_yn = \"Renal_disease\", code_10, view = T )"	"ICD9: start with 582, 585, 586, V56, 5880, V420, V451, 40301, 40311, 40391, 40402, 40403, 40412, 40413, 40492, 40493 ICD9: bwtween 5830 and 5837 ICD10: start with N18, N19, I120, I131, N032, N033, N034, N035, N036, N037, N052, N053, N054, N055, N056, N057, N250, Z490, Z491, Z492, Z940, Z992"	"diag_Renal.disease_hadm(all = FALSE, hadm_id = T, long_title = FALSE, code_yn = \"Renal_disease\", code_10 = FALSE, view = T)"
"diag_Rheumatic.disease_hadm"	"function"	"diagnosis"	"diag_Rheumatic.disease_hadm"	"Rheumatic.disease"	"diag_Rheumatic.disease_hadm( all = FALSE, hadm_id = T, long_title, code_yn = \"Rheumatic.disease\", code_10, view = T )"	"ICD9: start with 725, 4465, 7100, 7101, 7102, 7103, 7104, 7140, 7141, 7142, 7148 ICD10: start with M05, M06, M32, M33, M34,M315, M351, M353, M360"	"diag_Rheumatic.disease_hadm(all = FALSE, hadm_id = T, long_title = FALSE, code_yn = \"Rheumatic.disease\", code_10 = FALSE, view = T)"
"diag_suspicion.of.infection_hadm"	"function"	"diagnosis"	"diag_suspicion.of.infection_hadm"	"suspicion.of.infection"	"diag_suspicion.of.infection_hadm( all = FALSE, subject_id, hadm_id = T, stay_id, ab_id, antibiotic, antibiotic_time, suspected_infection, suspected_infection_time, culture_time, specimen, positive_culture )"	"每一行是一个住院病人使用的抗生素"	"diag_suspicion.of.infection_hadm(all = FALSE, subject_id = FALSE, hadm_id = T, stay_id = FALSE, ab_id = FALSE, antibiotic = FALSE, antibiotic_time = FALSE, suspected_infection = FALSE, suspected_infection_time = FALSE, culture_time = FALSE, specimen = FALSE, positive_culture = FALSE)"
"diag_TIA_hadm"	"function"	"diagnosis"	"diag_TIA_hadm"	"diag_TIA_hadm"	"diag_TIA_hadm(all = FALSE, hadm_id = T, code_yn = \"TIA\", code_10 = F, view = F)"	"ICD9: 4358,4359"	"diag_TIA_hadm(all = FALSE, hadm_id = T, code_yn = \"TIA\", code_10 = F, view = F)"
"dics"	"function"	"setup_discovery"	"dics"	"mimic数据库查询词典"	"dics(...)"	"mimic数据库查询词典"	"dics()"
"dp_cardiac.surgery_hadm"	"function"	"utility"	"dp_cardiac.surgery_hadm"	"cardiac.surgery"	"dp_cardiac.surgery_hadm( subject_id = F, hadm_id = T, long_title = F, code_yn = \"Cardiac_surgery\", code_10 = F, drop_no = F )"	"cardiac.surgery"	"dp_cardiac.surgery_hadm(subject_id = F, hadm_id = T, long_title = F, code_yn = \"Cardiac_surgery\", code_10 = F, drop_no = F)"
"drop_col"	"function"	"utility"	"drop_col"	"删除列"	"drop_col(d, ...)"	"删除列"	"drop_col(d = NULL)"
"drop_row"	"function"	"utility"	"drop_row"	"选择行"	"drop_row(d, ..., print = T)"	"选择行"	"drop_row(d = NULL, print = T)"
"drop_row2"	"function"	"utility"	"drop_row2"	"创建剔除行"	"drop_row2(x, ...)"	"创建剔除行"	"drop_row2(x = NULL)"
"drug_acei.arb.pre_hadm.t"	"function"	"drug_exposure"	"drug_acei.arb.pre_hadm.t"	"acei or arb"	"drug_acei.arb.pre_hadm.t( all = FALSE, subject_id, hadm_id = T, starttime, stoptime, acei.arb, drugYesNo = F )"	"acei or arb"	"drug_acei.arb.pre_hadm.t(all = FALSE, subject_id = FALSE, hadm_id = T, starttime = FALSE, stoptime = FALSE, acei.arb = FALSE, drugYesNo = F)"
"drug_acei.pre_hadm"	"function"	"drug_exposure"	"drug_acei.pre_hadm"	"drug_acei.pre_hadm"	"drug_acei.pre_hadm( all = FALSE, hadm_id, ACEI, Benazepril, Captopril, Enalapril, Fosinopril, Lisinopril, Moexipril, Perindopril, Quinapril, Ramipril, Trandolapril )"	"drug_acei.pre_hadm"	"drug_acei.pre_hadm(all = FALSE, hadm_id = FALSE, ACEI = FALSE, Benazepril = FALSE, Captopril = FALSE, Enalapril = FALSE, Fosinopril = FALSE, Lisinopril = FALSE, Moexipril = FALSE, Perindopril = FALSE, Quinapril = FALSE, Ramipril = FALSE, Trandolapril = FALSE)"
"drug_acei.pre_hadm.t"	"function"	"drug_exposure"	"drug_acei.pre_hadm.t"	"acei"	"drug_acei.pre_hadm.t( all = FALSE, subject_id, hadm_id = T, starttime, stoptime, acei, drugYesNo = F )"	"acei"	"drug_acei.pre_hadm.t(all = FALSE, subject_id = FALSE, hadm_id = T, starttime = FALSE, stoptime = FALSE, acei = FALSE, drugYesNo = F)"
"drug_antibiotic.pre_hadm"	"function"	"drug_exposure"	"drug_antibiotic.pre_hadm"	"drug_antibiotic.pre_hadm"	"drug_antibiotic.pre_hadm( all = FALSE, hadm_id = T, Antibiotic, Aminoglycoside, Aztreonam, beta_lactamase.inhibitor.combination, Carbapenems, Cephalosporins_1, Cephalosporins_2, Cephalosporins_3, Cephalosporins_4, Cephalosporins_5, Chloramphenicol, Dicloxacillin, Ery_tab, Flagyl, Glycopeptide, Lincosamide, Linezolid, Macrodantin, Macrolide, Nitrofurans, Penicillins, Quinolone, Rifampin, Streptomycin, Sulfonamide, Tetracycline, drugYesNo = F )"	"drug_antibiotic.pre_hadm"	"drug_antibiotic.pre_hadm(all = FALSE, hadm_id = T, Antibiotic = FALSE, Aminoglycoside = FALSE, Aztreonam = FALSE, beta_lactamase.inhibitor.combination = FALSE, Carbapenems = FALSE, Cephalosporins_1 = FALSE, Cephalosporins_2 = FALSE, Cephalosporins_3 = FALSE, Cephalosporins_4 = FALSE, Cephalosporins_5 = FALSE, Chloramphenicol = FALSE, Dicloxacillin = FALSE, Ery_tab = FALSE, Flagyl = FALSE, Glycopeptide = FALSE, Lincosamide = FALSE, Linezolid = FALSE, Macrodantin = FALSE, Macrolide = FALSE, Nitrofurans = FALSE, Penicillins = FALSE, Quinolone = FALSE, Rifampin = FALSE, Streptomycin = FALSE, Sulfonamide = FALSE, Tetracycline = FALSE, drugYesNo = F)"
"drug_antibiotic.pre_hadm.t"	"function"	"drug_exposure"	"drug_antibiotic.pre_hadm.t"	"抗生素"	"drug_antibiotic.pre_hadm.t( all = FALSE, subject_id, hadm_id = T, stay_id, antibiotic, route, starttime, stoptime, drugYesNo = F )"	"抗生素"	"drug_antibiotic.pre_hadm.t(all = FALSE, subject_id = FALSE, hadm_id = T, stay_id = FALSE, antibiotic = FALSE, route = FALSE, starttime = FALSE, stoptime = FALSE, drugYesNo = F)"
"drug_antifungal.pre_hadm"	"function"	"drug_exposure"	"drug_antifungal.pre_hadm"	"drug_antifungal.pre_hadm"	"drug_antifungal.pre_hadm( all = FALSE, hadm_id = T, antifungal, Fluconazole, Voriconazole, Itraconazole, Ketoconazole, Posaconazole, Isavuconazonium, Caspofungin, Anidulafungin, Micafungin, Amphotericin_B, Nystatin )"	"drug_antifungal.pre_hadm"	"drug_antifungal.pre_hadm(all = FALSE, hadm_id = T, antifungal = FALSE, Fluconazole = FALSE, Voriconazole = FALSE, Itraconazole = FALSE, Ketoconazole = FALSE, Posaconazole = FALSE, Isavuconazonium = FALSE, Caspofungin = FALSE, Anidulafungin = FALSE, Micafungin = FALSE, Amphotericin_B = FALSE, Nystatin = FALSE)"
"drug_antifungal.pre_hadm.t"	"function"	"drug_exposure"	"drug_antifungal.pre_hadm.t"	"prescriptions"	"drug_antifungal.pre_hadm.t( all = FALSE, hadm_id = T, drugYesNo = F, poe_seq, poe_id, pharmacy_id, starttime, stoptime, drug_type, drug, CN, formulary_drug_cd, gsn, ndc, prod_strength, form_rx, dose_val_rx, dose_unit_rx, form_val_disp, form_unit_disp, doses_per_24_hrs, route )"	"prescriptions"	"drug_antifungal.pre_hadm.t(all = FALSE, hadm_id = T, drugYesNo = F, poe_seq = FALSE, poe_id = FALSE, pharmacy_id = FALSE, starttime = FALSE, stoptime = FALSE, drug_type = FALSE, drug = FALSE, CN = NULL, formulary_drug_cd = FALSE, gsn = FALSE, ndc = FALSE, prod_strength = FALSE, form_rx = FALSE, dose_val_rx = FALSE, dose_unit_rx = FALSE, form_val_disp = FALSE, form_unit_disp = FALSE, doses_per_24_hrs = FALSE, route = FALSE)"
"drug_arb.pre_hadm.t"	"function"	"drug_exposure"	"drug_arb.pre_hadm.t"	"arb"	"drug_arb.pre_hadm.t( all = FALSE, subject_id, hadm_id = T, starttime, stoptime, arb, drugYesNo = F )"	"arb"	"drug_arb.pre_hadm.t(all = FALSE, subject_id = FALSE, hadm_id = T, starttime = FALSE, stoptime = FALSE, arb = FALSE, drugYesNo = F)"
"drug_Diuretic.loop.pre_hadm.t"	"function"	"drug_exposure"	"drug_Diuretic.loop.pre_hadm.t"	"袢利尿剂prescriptions"	"drug_Diuretic.loop.pre_hadm.t( all = FALSE, hadm_id = T, drugYesNo = F, poe_seq, poe_id, pharmacy_id, starttime, stoptime, drug_type, drug, CN, formulary_drug_cd, gsn, ndc, prod_strength, form_rx, dose_val_rx, dose_unit_rx, form_val_disp, form_unit_disp, doses_per_24_hrs, route )"	"袢利尿剂prescriptions"	"drug_Diuretic.loop.pre_hadm.t(all = FALSE, hadm_id = T, drugYesNo = F, poe_seq = FALSE, poe_id = FALSE, pharmacy_id = FALSE, starttime = FALSE, stoptime = FALSE, drug_type = FALSE, drug = FALSE, CN = NULL, formulary_drug_cd = FALSE, gsn = FALSE, ndc = FALSE, prod_strength = FALSE, form_rx = FALSE, dose_val_rx = FALSE, dose_unit_rx = FALSE, form_val_disp = FALSE, form_unit_disp = FALSE, doses_per_24_hrs = FALSE, route = FALSE)"
"drug_Diuretic.potassium.sparing.pre_hadm.t"	"function"	"drug_exposure"	"drug_Diuretic.potassium.sparing.pre_hadm.t"	"袢利尿剂prescriptions"	"drug_Diuretic.potassium.sparing.pre_hadm.t( all = FALSE, hadm_id = T, drugYesNo = F, poe_seq, poe_id, pharmacy_id, starttime, stoptime, drug_type, drug, CN, formulary_drug_cd, gsn, ndc, prod_strength, form_rx, dose_val_rx, dose_unit_rx, form_val_disp, form_unit_disp, doses_per_24_hrs, route )"	"袢利尿剂prescriptions"	"drug_Diuretic.potassium.sparing.pre_hadm.t(all = FALSE, hadm_id = T, drugYesNo = F, poe_seq = FALSE, poe_id = FALSE, pharmacy_id = FALSE, starttime = FALSE, stoptime = FALSE, drug_type = FALSE, drug = FALSE, CN = NULL, formulary_drug_cd = FALSE, gsn = FALSE, ndc = FALSE, prod_strength = FALSE, form_rx = FALSE, dose_val_rx = FALSE, dose_unit_rx = FALSE, form_val_disp = FALSE, form_unit_disp = FALSE, doses_per_24_hrs = FALSE, route = FALSE)"
"drug_Diuretic.pre_hadm.t"	"function"	"drug_exposure"	"drug_Diuretic.pre_hadm.t"	"利尿剂prescriptions"	"drug_Diuretic.pre_hadm.t( all = FALSE, hadm_id = T, drugYesNo = F, poe_seq, poe_id, pharmacy_id, starttime, stoptime, drug_type, drug, CN, formulary_drug_cd, gsn, ndc, prod_strength, form_rx, dose_val_rx, dose_unit_rx, form_val_disp, form_unit_disp, doses_per_24_hrs, route )"	"利尿剂prescriptions"	"drug_Diuretic.pre_hadm.t(all = FALSE, hadm_id = T, drugYesNo = F, poe_seq = FALSE, poe_id = FALSE, pharmacy_id = FALSE, starttime = FALSE, stoptime = FALSE, drug_type = FALSE, drug = FALSE, CN = NULL, formulary_drug_cd = FALSE, gsn = FALSE, ndc = FALSE, prod_strength = FALSE, form_rx = FALSE, dose_val_rx = FALSE, dose_unit_rx = FALSE, form_val_disp = FALSE, form_unit_disp = FALSE, doses_per_24_hrs = FALSE, route = FALSE)"
"drug_Diuretic.thiazide.pre_hadm.t"	"function"	"drug_exposure"	"drug_Diuretic.thiazide.pre_hadm.t"	"噻嗪类利尿剂prescriptions"	"drug_Diuretic.thiazide.pre_hadm.t( all = FALSE, hadm_id = T, drugYesNo = F, poe_seq, poe_id, pharmacy_id, starttime, stoptime, drug_type, drug, CN, formulary_drug_cd, gsn, ndc, prod_strength, form_rx, dose_val_rx, dose_unit_rx, form_val_disp, form_unit_disp, doses_per_24_hrs, route )"	"噻嗪类利尿剂prescriptions"	"drug_Diuretic.thiazide.pre_hadm.t(all = FALSE, hadm_id = T, drugYesNo = F, poe_seq = FALSE, poe_id = FALSE, pharmacy_id = FALSE, starttime = FALSE, stoptime = FALSE, drug_type = FALSE, drug = FALSE, CN = NULL, formulary_drug_cd = FALSE, gsn = FALSE, ndc = FALSE, prod_strength = FALSE, form_rx = FALSE, dose_val_rx = FALSE, dose_unit_rx = FALSE, form_val_disp = FALSE, form_unit_disp = FALSE, doses_per_24_hrs = FALSE, route = FALSE)"
"drug_dobutamine.input_icu.t"	"function"	"drug_exposure"	"drug_dobutamine.input_icu.t"	"多巴酚丁胺"	"drug_dobutamine.input_icu.t( all = FALSE, stay_id = T, starttime, endtime, vaso_amount, vaso_rate, linkorderid, drugYesNo = F )"	"多巴酚丁胺"	"drug_dobutamine.input_icu.t(all = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, vaso_amount = FALSE, vaso_rate = NULL, linkorderid = FALSE, drugYesNo = F)"
"drug_dopamine.input_icu.t"	"function"	"drug_exposure"	"drug_dopamine.input_icu.t"	"多巴胺"	"drug_dopamine.input_icu.t( all = FALSE, stay_id, starttime, endtime, vaso_amount, vaso_rate, linkorderid, drugYesNo = F )"	"多巴胺"	"drug_dopamine.input_icu.t(all = FALSE, stay_id = FALSE, starttime = FALSE, endtime = FALSE, vaso_amount = FALSE, vaso_rate = NULL, linkorderid = FALSE, drugYesNo = F)"
"drug_epinephrine.input_icu.t"	"function"	"drug_exposure"	"drug_epinephrine.input_icu.t"	"肾上腺素"	"drug_epinephrine.input_icu.t( all = FALSE, stay_id = T, starttime, endtime, vaso_amount, vaso_rate, linkorderid, drugYesNo = F )"	"肾上腺素"	"drug_epinephrine.input_icu.t(all = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, vaso_amount = FALSE, vaso_rate = NULL, linkorderid = FALSE, drugYesNo = F)"
"drug_milrinone.input_icu.t"	"function"	"drug_exposure"	"drug_milrinone.input_icu.t"	"米力农"	"drug_milrinone.input_icu.t( all = FALSE, stay_id = T, starttime, endtime, vaso_amount, vaso_rate, linkorderid, drugYesNo = F )"	"米力农"	"drug_milrinone.input_icu.t(all = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, vaso_amount = FALSE, vaso_rate = NULL, linkorderid = FALSE, drugYesNo = F)"
"drug_neuroblock.input_icu.t"	"function"	"drug_exposure"	"drug_neuroblock.input_icu.t"	"神经阻滞剂"	"drug_neuroblock.input_icu.t( all = FALSE, stay_id = T, starttime, endtime, drug_amount, drug_rate, orderid, drugYesNo = F )"	"神经阻滞剂"	"drug_neuroblock.input_icu.t(all = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, drug_amount = FALSE, drug_rate = FALSE, orderid = FALSE, drugYesNo = F)"
"drug_norepinephrine.equivalent.dose.input_icu.t"	"function"	"drug_exposure"	"drug_norepinephrine.equivalent.dose.input_icu.t"	"去甲肾上腺素当量剂量"	"drug_norepinephrine.equivalent.dose.input_icu.t( all = FALSE, stay_id = T, starttime, endtime, norepinephrine_equivalent_dose, drugYesNo = F )"	"去甲肾上腺素当量剂量"	"drug_norepinephrine.equivalent.dose.input_icu.t(all = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, norepinephrine_equivalent_dose = FALSE, drugYesNo = F)"
"drug_norepinephrine.input_icu.t"	"function"	"drug_exposure"	"drug_norepinephrine.input_icu.t"	"去甲肾上腺素"	"drug_norepinephrine.input_icu.t( all = FALSE, stay_id = T, starttime, endtime, vaso_amount, vaso_rate, linkorderid, drugYesNo = F )"	"去甲肾上腺素"	"drug_norepinephrine.input_icu.t(all = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, vaso_amount = FALSE, vaso_rate = NULL, linkorderid = FALSE, drugYesNo = F)"
"drug_nsaid.pre_hadm.t"	"function"	"drug_exposure"	"drug_nsaid.pre_hadm.t"	"nsaid"	"drug_nsaid.pre_hadm.t( all = FALSE, subject_id, hadm_id = T, starttime, stoptime, nsaid, drugYesNo = F )"	"nsaid"	"drug_nsaid.pre_hadm.t(all = FALSE, subject_id = FALSE, hadm_id = T, starttime = FALSE, stoptime = FALSE, nsaid = FALSE, drugYesNo = F)"
"drug_phenylephrine.input_icu.t"	"function"	"drug_exposure"	"drug_phenylephrine.input_icu.t"	"苯肾上腺素"	"drug_phenylephrine.input_icu.t( all = FALSE, stay_id = T, starttime, endtime, vaso_amount, vaso_rate, linkorderid, drugYesNo = F )"	"苯肾上腺素"	"drug_phenylephrine.input_icu.t(all = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, vaso_amount = FALSE, vaso_rate = NULL, linkorderid = FALSE, drugYesNo = F)"
"drug_ssTime_hadm"	"function"	"drug_exposure"	"drug_ssTime_hadm"	"根据入院时间判断药物的使用情况"	"drug_ssTime_hadm(d, colnm = \"xx\", post_hour = 0)"	"根据入院时间判断药物的使用情况"	"drug_ssTime_hadm(d = NULL, colnm = \"xx\", post_hour = 0)"
"drug_ssTime_icu"	"function"	"drug_exposure"	"drug_ssTime_icu"	"根据入icu时间判断药物的使用情况"	"drug_ssTime_icu(d, colnm = \"xx\", post_hour = 0)"	"根据入icu时间判断药物的使用情况"	"drug_ssTime_icu(d = NULL, colnm = \"xx\", post_hour = 0)"
"drug_vasoactive.agent.input_icu.t"	"function"	"drug_exposure"	"drug_vasoactive.agent.input_icu.t"	"血管活性药"	"drug_vasoactive.agent.input_icu.t( all = FALSE, stay_id = T, starttime, endtime, dopamine, epinephrine, norepinephrine, phenylephrine, vasopressin, dobutamine, milrinone, drugYesNo = F )"	"血管活性药"	"drug_vasoactive.agent.input_icu.t(all = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, dopamine = FALSE, epinephrine = FALSE, norepinephrine = FALSE, phenylephrine = FALSE, vasopressin = FALSE, dobutamine = FALSE, milrinone = FALSE, drugYesNo = F)"
"drug_vasopressin.input_icu.t"	"function"	"drug_exposure"	"drug_vasopressin.input_icu.t"	"加压素"	"drug_vasopressin.input_icu.t( all = FALSE, stay_id = T, starttime, endtime, vaso_amount, vaso_rate, linkorderid, drugYesNo = F )"	"加压素"	"drug_vasopressin.input_icu.t(all = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, vaso_amount = FALSE, vaso_rate = NULL, linkorderid = FALSE, drugYesNo = F)"
"dt_age_hadm"	"function"	"time_series"	"dt_age_hadm"	"dt_age"	"dt_age_hadm( all = FALSE, subject_id, hadm_id = T, age = T, admittime, anchor_age, anchor_year )"	"dt_age"	"dt_age_hadm(all = FALSE, subject_id = FALSE, hadm_id = T, age = T, admittime = FALSE, anchor_age = FALSE, anchor_year = FALSE)"
"dt_blood.differential_subj.t"	"function"	"time_series"	"dt_blood.differential_subj.t"	"白细胞分类"	"dt_blood.differential_subj.t( all = FALSE, hadm_id, specimen_id, wbc, basophils_abs, eosinophils_abs, lymphocytes_abs, monocytes_abs, neutrophils_abs, basophils, eosinophils, lymphocytes, monocytes, neutrophils, atypical_lymphocytes, bands, immature_granulocytes, metamyelocytes, nrbc )"	"细胞的绝对计数的单位是k/ul，等于10^9/L"	"dt_blood.differential_subj.t(all = FALSE, hadm_id = FALSE, specimen_id = FALSE, wbc = NULL, basophils_abs = NULL, eosinophils_abs = NULL, lymphocytes_abs = NULL, monocytes_abs = NULL, neutrophils_abs = NULL, basophils = NULL, eosinophils = NULL, lymphocytes = NULL, monocytes = NULL, neutrophils = NULL, atypical_lymphocytes = NULL, bands = NULL, immature_granulocytes = NULL, metamyelocytes = NULL, nrbc = NULL)"
"dt_blood.gas_subj.t"	"function"	"time_series"	"dt_blood.gas_subj.t"	"血气分析"	"dt_blood.gas_subj.t( all = FALSE, subject_id = T, hadm_id, charttime, specimen, SO2, PO2_mmHg, PCO2_mmHg, FiO2_chartevents, FiO2, aado2_mmHg, aado2_calc, PaO2FiO2ratio, ph, baseexcess_mEq.L, bicarbonate_mEq.L, totalCO2_mEq.L, hematocrit, hemoglobin_g.dL, carboxyhemoglobin, methemoglobin, chloride_mEq.L, free_calcium_mmol.L, temperature, potassium_mEq.L, sodium_mEq.L, lactate_mmol.L, glucose_mg.dL )"	"血气分析"	"dt_blood.gas_subj.t(all = FALSE, subject_id = T, hadm_id = FALSE, charttime = FALSE, specimen = NULL, SO2 = NULL, PO2_mmHg = NULL, PCO2_mmHg = NULL, FiO2_chartevents = NULL, FiO2 = NULL, aado2_mmHg = NULL, aado2_calc = NULL, PaO2FiO2ratio = NULL, ph = NULL, baseexcess_mEq.L = NULL, bicarbonate_mEq.L = NULL, totalCO2_mEq.L = NULL, hematocrit = NULL, hemoglobin_g.dL = NULL, carboxyhemoglobin = NULL, methemoglobin = NULL, chloride_mEq.L = NULL, free_calcium_mmol.L = NULL, temperature = NULL, potassium_mEq.L = NULL, sodium_mEq.L = NULL, lactate_mmol.L = NULL, glucose_mg.dL = NULL)"
"dt_cardiac.marker_subj.t"	"function"	"time_series"	"dt_cardiac.marker_subj.t"	"心脏标志物"	"dt_cardiac.marker_subj.t( all = FALSE, specimen_id, subject_id = T, hadm_id, charttime, TnT_ng.mL, CK_MB_ng.mL, NT_proBNP_pg.mL )"	"心脏标志物"	"dt_cardiac.marker_subj.t(all = FALSE, specimen_id = FALSE, subject_id = T, hadm_id = FALSE, charttime = FALSE, TnT_ng.mL = NULL, CK_MB_ng.mL = NULL, NT_proBNP_pg.mL = NULL)"
"dt_chemistry_subj.t"	"function"	"time_series"	"dt_chemistry_subj.t"	"血生化"	"dt_chemistry_subj.t( all = FALSE, specimen_id, hadm_id, albumin_g.dL, globulin_g.dL, total_protein_g.dL, aniongap_mEq.L, bicarbonate_mEq.L, bun_mg.dL, total_calcium_mg.dL, chloride_mEq.L, creatinine_mg.dL, glucose_mg.dL, sodium_mEq.L, potassium_mEq.L )"	"血生化"	"dt_chemistry_subj.t(all = FALSE, specimen_id = FALSE, hadm_id = FALSE, albumin_g.dL = NULL, globulin_g.dL = NULL, total_protein_g.dL = NULL, aniongap_mEq.L = NULL, bicarbonate_mEq.L = NULL, bun_mg.dL = NULL, total_calcium_mg.dL = NULL, chloride_mEq.L = NULL, creatinine_mg.dL = NULL, glucose_mg.dL = NULL, sodium_mEq.L = NULL, potassium_mEq.L = NULL)"
"dt_coagulation_subj.t"	"function"	"time_series"	"dt_coagulation_subj.t"	"凝血功能"	"dt_coagulation_subj.t( all = FALSE, specimen_id, subject_id = T, hadm_id, charttime, D_dimer_ng.mL, fibrinogen_mg.dL, thrombin_sec, INR, pt_sec, ptt_sec )"	"凝血功能"	"dt_coagulation_subj.t(all = FALSE, specimen_id = FALSE, subject_id = T, hadm_id = FALSE, charttime = FALSE, D_dimer_ng.mL = NULL, fibrinogen_mg.dL = NULL, thrombin_sec = NULL, INR = NULL, pt_sec = NULL, ptt_sec = NULL)"
